Tempo,PosicaoX,PosicaoY
0,6770991.31,7672.00
1,6770973.92,15343.99
2,6770947.84,23015.96
3,6770913.06,30687.90
4,6770869.59,38359.80
5,6770817.43,46031.66
6,6770756.57,53703.45
7,6770687.02,61375.17
8,6770608.77,69046.82
9,6770521.83,76718.37
10,6770426.20,84389.83
11,6770321.87,92061.18
12,6770208.85,99732.41
13,6770087.14,107403.52
14,6769956.74,115074.48
15,6769817.64,122745.30
16,6769669.85,130415.96
17,6769513.36,138086.45
18,6769348.19,145756.77
19,6769174.32,153426.90
20,6768991.76,161096.83
21,6768800.51,168766.55
22,6768600.56,176436.06
23,6768391.93,184105.34
24,6768174.60,191774.39
25,6767948.58,199443.19
26,6767713.88,207111.73
27,6767470.48,214780.01
28,6767218.39,222448.01
29,6766957.61,230115.72
30,6766688.15,237783.14
31,6766409.99,245450.26
32,6766123.15,253117.05
33,6765827.61,260783.53
34,6765523.39,268449.67
35,6765210.49,276115.46
36,6764888.89,283780.90
37,6764558.61,291445.98
38,6764219.64,299110.68
39,6763871.99,306775.00
40,6763515.65,314438.92
41,6763150.62,322102.44
42,6762776.91,329765.54
43,6762394.52,337428.23
44,6762003.44,345090.48
45,6761603.68,352752.28
46,6761195.24,360413.64
47,6760778.11,368074.53
48,6760352.30,375734.94
49,6759917.82,383394.88
50,6759474.65,391054.32
51,6759022.80,398713.26
52,6758562.27,406371.69
53,6758093.06,414029.60
54,6757615.18,421686.97
55,6757128.61,429343.81
56,6756633.37,437000.09
57,6756129.45,444655.81
58,6755616.86,452310.96
59,6755095.59,459965.53
60,6754565.65,467619.51
61,6754027.03,475272.88
62,6753479.74,482925.65
63,6752923.78,490577.80
64,6752359.15,498229.32
65,6751785.84,505880.19
66,6751203.86,513530.42
67,6750613.22,521179.99
68,6750013.90,528828.89
69,6749405.92,536477.11
70,6748789.27,544124.64
71,6748163.95,551771.47
72,6747529.97,559417.60
73,6746887.32,567063.00
74,6746236.01,574707.68
75,6745576.03,582351.62
76,6744907.39,589994.81
77,6744230.09,597637.25
78,6743544.13,605278.91
79,6742849.51,612919.80
80,6742146.23,620559.90
81,6741434.29,628199.21
82,6740713.69,635837.71
83,6739984.44,643475.39
84,6739246.53,651112.24
85,6738499.97,658748.26
86,6737744.75,666383.44
87,6736980.88,674017.75
88,6736208.36,681651.21
89,6735427.19,689283.78
90,6734637.37,696915.47
91,6733838.90,704546.27
92,6733031.78,712176.16
93,6732216.01,719805.14
94,6731391.60,727433.19
95,6730558.54,735060.31
96,6729716.84,742686.48
97,6728866.50,750311.70
98,6728007.52,757935.96
99,6727139.89,765559.24
100,6726263.63,773181.54
101,6725378.73,780802.85
102,6724485.19,788423.15
103,6723583.01,796042.45
104,6722672.20,803660.72
105,6721752.76,811277.95
106,6720824.68,818894.15
107,6719887.97,826509.29
108,6718942.64,834123.38
109,6717988.67,841736.39
110,6717026.07,849348.32
111,6716054.85,856959.16
112,6715075.01,864568.90
113,6714086.53,872177.52
114,6713089.44,879785.03
115,6712083.73,887391.41
116,6711069.39,894996.65
117,6710046.44,902600.74
118,6709014.86,910203.67
119,6707974.67,917805.43
120,6706925.87,925406.01
121,6705868.45,933005.41
122,6704802.42,940603.60
123,6703727.78,948200.59
124,6702644.53,955796.36
125,6701552.67,963390.90
126,6700452.21,970984.21
127,6699343.14,978576.26
128,6698225.46,986167.07
129,6697099.18,993756.60
130,6695964.30,1001344.86
131,6694820.82,1008931.83
132,6693668.74,1016517.51
133,6692508.07,1024101.88
134,6691338.80,1031684.93
135,6690160.93,1039266.66
136,6688974.48,1046847.06
137,6687779.43,1054426.11
138,6686575.79,1062003.81
139,6685363.57,1069580.14
140,6684142.75,1077155.10
141,6682913.36,1084728.67
142,6681675.38,1092300.86
143,6680428.82,1099871.64
144,6679173.68,1107441.00
145,6677909.96,1115008.95
146,6676637.66,1122575.46
147,6675356.79,1130140.53
148,6674067.34,1137704.15
149,6672769.32,1145266.31
150,6671462.73,1152827.00
151,6670147.58,1160386.20
152,6668823.85,1167943.92
153,6667491.56,1175500.13
154,6666150.71,1183054.84
155,6664801.29,1190608.03
156,6663443.32,1198159.68
157,6662076.78,1205709.80
158,6660701.69,1213258.37
159,6659318.05,1220805.38
160,6657925.85,1228350.83
161,6656525.10,1235894.69
162,6655115.80,1243436.97
163,6653697.95,1250977.65
164,6652271.55,1258516.73
165,6650836.61,1266054.19
166,6649393.13,1273590.02
167,6647941.11,1281124.21
168,6646480.55,1288656.76
169,6645011.45,1296187.66
170,6643533.82,1303716.89
171,6642047.65,1311244.45
172,6640552.96,1318770.32
173,6639049.73,1326294.49
174,6637537.98,1333816.97
175,6636017.70,1341337.73
176,6634488.89,1348856.77
177,6632951.57,1356374.07
178,6631405.72,1363889.64
179,6629851.36,1371403.45
180,6628288.48,1378915.50
181,6626717.09,1386425.78
182,6625137.19,1393934.28
183,6623548.77,1401440.98
184,6621951.85,1408945.89
185,6620346.43,1416448.99
186,6618732.50,1423950.27
187,6617110.06,1431449.72
188,6615479.13,1438947.33
189,6613839.70,1446443.09
190,6612191.78,1453936.99
191,6610535.36,1461429.03
192,6608870.45,1468919.19
193,6607197.05,1476407.46
194,6605515.17,1483893.84
195,6603824.80,1491378.31
196,6602125.95,1498860.87
197,6600418.61,1506341.49
198,6598702.80,1513820.19
199,6596978.51,1521296.94
200,6595245.75,1528771.74
201,6593504.52,1536244.57
202,6591754.82,1543715.43
203,6589996.65,1551184.30
204,6588230.02,1558651.19
205,6586454.92,1566116.07
206,6584671.36,1573578.94
207,6582879.35,1581039.78
208,6581078.87,1588498.60
209,6579269.95,1595955.38
210,6577452.57,1603410.11
211,6575626.75,1610862.77
212,6573792.47,1618313.37
213,6571949.76,1625761.89
214,6570098.60,1633208.32
215,6568239.00,1640652.65
216,6566370.97,1648094.88
217,6564494.50,1655534.99
218,6562609.59,1662972.97
219,6560716.26,1670408.81
220,6558814.50,1677842.51
221,6556904.32,1685274.06
222,6554985.71,1692703.44
223,6553058.68,1700130.64
224,6551123.23,1707555.67
225,6549179.37,1714978.49
226,6547227.10,1722399.12
227,6545266.41,1729817.53
228,6543297.32,1737233.72
229,6541319.82,1744647.68
230,6539333.92,1752059.40
231,6537339.62,1759468.86
232,6535336.92,1766876.07
233,6533325.82,1774281.01
234,6531306.33,1781683.66
235,6529278.46,1789084.03
236,6527242.19,1796482.10
